TOPIC,Türkçe,English
adverb,Ben ondan daha mutluyum.,I am happier than him/her.
adverb,Ben seninle hep evdeyim.,I am always at home with you.
adverb,Benden daha büyük müsünüz?,Are you older than me?
adverb,Benim için yeterince iyi değilsin.,You are not good enough for me.
adverb,Benim bir erkek kardeşim bile yok.,I don't even have a brother.
adverb,Benim bir kedim bile yok.,I don't even have a cat.
adverb,Biz nadiren sütlü çay içeriz.,We rarely drink tea with milk.
adverb,Biz neredeyse her hafta balık yeriz.,We eat fish almost every week.
adverb,Bu etek kesinlikle çok büyük.,This skirt is definitely too big.
adverb,Bu ev en küçük ev.,This house is the smallest house.
adverb,Bu ev gerçekten büyük.,This house is really big.
aorist,Anneler çocukları için hep iyi şeyler umar.,Mothers always hope for good things for their children.
aorist,Ben çalışırım.,I work.
aorist,Ben evet derim.,I say yes.
aorist,"Ben genelde ev tasarlarım, araba değil.","I generally design houses, not cars."
aorist,Ben kediyi isterim.,I want the cat.
aorist,Ben kitabı yazarım.,I write the book.
aorist,Ben kitap kullanırım.,I use books.
aorist,Ben oynarım.,I play.
aorist,Ben sık sık telefonumu değiştiririm.,I often change my phone.
aorist,Ben yürürüm ve o yürür.,I walk and he walks.
aorist,Ben yüzerim ve o yüzer.,I swim and he swims.
aorist,Benim çocuklarım uyurlar.,My children sleep.
aorist,Biz kaplumbağaları isteriz.,We want the turtles.
aorist,Biz koşarız.,We run.
aorist,Biz oynarız.,We play.
aorist,Bu kitabı sana anlatırım.,I can/will explain this book to you.
aorist,Eti pişirirsin.,You cook the meat.
aorist,Evde seni destekleriz.,We support you at home.
aorist,"Evet, ben dinlerim.","Yes, I listen."
aorist,Görürüz.,We can/will see.
aorist,Her pazar bara giderim.,I go to the bar every Sunday.
aorist,Kadınlar dinlerler.,Women listen.
aorist,Kaplumbağa yürür ve köpek koşar.,The turtle walks and the dog runs.
aorist,Kaplumbağaları pişirirsin.,You cook the turtles.
aorist,Mart sırasında havuz soğuk olur.,The pool becomes cold during March.
aorist,O çalışır.,He works.
aorist,O elbise tasarlar.,He designs dresses.
aorist,O her yıl araba değiştirir.,He changes cars every year.
aorist,O her şeyi bilir.,He knows everything.
aorist,O kuşu görür.,He sees the bird.
art,Annem çok güzel bir resim yapıyor.,My mother is making a very beautiful painting.
art,Babamın gitarı çok eski.,My father's guitar is very old.
art,Ben ders çalışırken müzik dinlerim.,I listen to music while studying.
art,Ben gitar çalmak istiyorum.,I want to play the guitar.
art,Ben sinemada uyuyorum.,I am sleeping in the cinema.
art,Benim filmde önemli bir rolüm var.,I have an important role in the film.
art,Benimle dans etmek ister misin?,Do you want to dance with me?
art,Bu çok üzücü bir film.,This is a very sad film.
art,Bu yıl resim dersi almak istiyorum.,I want to take painting lessons this year.
art,Buraya yakın bir sinema var mı?,Is there a cinema near here?
art,Buz ve ateşin şarkısı.,A song of ice and fire.
art,Çarşamba sinemaya gidiyoruz.,We are going to the cinema on Wednesday.
art,Edebiyat bir sanattır.,Literature is an art.
art,Edebiyat onun hayata bakışını değiştirir.,Literature changes his perspective on life.
art,Eskiden sen bana Nazım Hikmet’in şiirlerini okurdun.,You used to read Nazım Hikmet's poems to me.
art,Fazıl Say meşhur bir piyanist.,Fazıl Say is a famous pianist.
art,Gitar çalmayı seviyor musun?,Do you like playing the guitar?
art,İşsizken evde hep televizyon izledim.,I always watched television at home while unemployed.
art,Küçük çocuk keman çalıyor.,The little child is playing the violin.
art,Kızım piyanist olmak istiyor.,My daughter wants to be a pianist.
business,Almanya'da en büyük endüstri ne?,What is the largest industry in Germany?
business,Altın benim!,The gold is mine!
business,Bankaya gidiyoruz.,We are going to the bank.
business,Benim hiç param yok.,I have no money at all.
business,Benim sağlık sigortam yok.,I don't have health insurance.
business,Bilgisayar ticareti yapmaya karar verdik.,We decided to do computer trade.
business,Bu altın saat çok pahalı.,This gold watch is very expensive.
business,Bu elbise kaç lira?,How many liras is this dress?
business,Bu evin masrafı hiç bitmiyor!,The expense of this house never ends!
business,Bu ürünler Almanya'dan geliyor.,These products come from Germany.
business,Bu yıl piyasada portakal yok.,There are no oranges on the market this year.
business,Bugün altı satış yaptım.,I made six sales today.
business,Bütçemiz ne kadar?,How much is our budget?
business,Ekonomi nasıl?,How is the economy?
business,Ekonomik krize kendimi hazırlamalıyım.,I must prepare myself for the economic crisis.
business,Firmada elli iki kişi çalışır.,Fifty-two people work at the firm.
business,Firmanın geliri son beş yılda gelişti.,The firm's income developed in the last five years.
business,Futbolcu olmak için uğraşsa çok para kazanacak.,"If he tries to be a football player, he will earn a lot of money."
business,Her ameliyatın riskleri vardır.,Every surgery has risks.
business,Kendi kendine yeni kelimeler üretiyor.,He is producing new words by himself/herself.
clothing,Adam siyah bir ayakkabı giyer.,The man wears a black shoe.
clothing,Ayakkabıları yeşil.,His shoes are green.
clothing,Barış’ın beyaz bir ceketi var.,Barış has a white jacket.
clothing,Ben turuncu bir elbise giyerim.,I wear an orange dress.
clothing,Benim kırmızı elbiselerim var.,I have red dresses.
clothing,Bizim rengarenk elbiselerimiz var.,We have colorful dresses.
clothing,Erkekler ve kadınlar mor ceketleri giyerler.,Men and women wear purple jackets.
clothing,Kışın ceket giyerim.,I wear a jacket in the winter.
clothing,Pazarları etek giyerim.,I wear a skirt on Sundays.
clothing,Sen öğleden sonra gömlek giyersin.,You wear a shirt in the afternoon.
clothing,Her gün takım elbise giyer.,He wears a suit every day.
clothing,Karımın şapkaları mavi.,My wife's hats are blue.
clothing,Birçok öğrenci pantolon giyer.,Many students wear pants.
clothing,Ablam hep etek giyer.,My older sister always wears a skirt.
clothing,Aslında ben takım giyerim.,"Actually, I wear a suit."
clothing,Ben çoğunlukla etek giyerim.,I mostly wear a skirt.
clothing,Ben genellikle etek giyerim.,I generally wear a skirt.
clothing,Bu etek kesinlikle çok büyük.,This skirt is definitely too big.
clothing,Özellikle kırmızı eteği istiyorum.,I especially want the red skirt.
clothing,Babaannesi mavi bir etek giyer.,His paternal grandmother wears a blue skirt.
clothing,Eski yeşil gömleğimi bulmak istiyorum.,I want to find my old green shirt.
clothing,O eteği bulmak çok zor.,Finding that skirt is very hard.
clothing,Mavi elbiseyi alalım mı?,Shall we buy the blue dress?
clothing,Annemin eteği siyahtı.,My mother's skirt was black.
clothing,Siyah eteğim çok ucuz.,My black skirt is very cheap.
clothing,Ucuz bir etek istiyorum.,I want a cheap skirt.
clothing,Ben hep ucuz elbiseler giyerim.,I always wear cheap dresses.
clothing,Üçüncü şapka benim.,The third hat is mine.
clothing,Anneannen gözlük takar.,Your maternal grandmother wears glasses.
clothing,Mavi gözlük takar.,He wears blue glasses.
colors,Adam siyah bir ayakkabı giyer.,The man wears a black shoe.
colors,Atlar yeşil değil.,The horses are not green.
colors,Ayakkabıları yeşil.,His shoes are green.
colors,Barış’ın beyaz bir ceketi var.,Barış has a white jacket.
colors,Ben turuncu bir elbise giyerim.,I wear an orange dress.
colors,Ben yeşil çay içerim.,I drink green tea.
colors,Benim adım kırmızı.,My name is Red.
colors,Benim kırmızı elbiselerim var.,I have red dresses.
colors,Beyaz kale.,White castle.
colors,Beyaz yoğurdu ben yerim.,I eat the white yogurt.
colors,Beyaz şarabı içeriz kırmızı eti yeriz.,We drink white wine and eat red meat.
colors,Biz renklerimiz sarı ve kahverengidir.,Our colors are yellow and brown.
colors,Bizim rengarenk elbiselerimiz var.,We have colorful dresses.
colors,Bu kuş rengarenk.,This bird is colorful.
colors,Erkekler ve kadınlar mor ceketleri giyerler.,Men and women wear purple jackets.
colors,Evin rengi kırmızı.,The color of the house is red.
colors,Gri atımız su içer.,Our gray horse drinks water.
colors,Günaydın mavi tavşan.,Good morning blue rabbit.
colors,Gri geceler.,Gray nights.
colors,"Hayır, onun fili kırmızı değil.","No, his elephant is not red."
colors,Kahverengi inek nerede?,Where is the brown cow?
colors,Kahve kahverengidir.,Coffee is brown.
colors,Kimin beyaz atı var?,Who has a white horse?
colors,kırmızı kuş evde uyuyor.,The red bird is sleeping at home.
colors,Kızlar turuncu kitabı okurlar.,The girls read the orange book.
colors,Mavi gözlük takar.,He wears blue glasses.
colors,Mor bir balık yerim.,I eat a purple fish.
colors,Mor menüyü okursun.,You read the purple menu.
colors,Nasılsın pembe kuşum?,How are you my pink bird?
colors,Neden turuncu kitabı okuyorsun?,Why are you reading the orange book?
conditional,Ateş yakarsan dikkatli olmalısın.,"If you light a fire, you must be careful."
conditional,Ateşi yaksaydın yumurtayı pişirir ve yerdik.,"If you had lit the fire, we would have cooked the egg and eaten it."
conditional,"Bana inanmıyorsan, gidebilirsin.","If you do not believe me, you can go."
conditional,Bana inanırsan sana yardım ederim.,"If you believe me, I will help you."
conditional,Bizim eve varırsa haber ver.,"If it/he reaches our house, let us know."
conditional,"Bu akşam buluşursak, sana çorba pişiririm.","If we meet tonight, I will cook soup for you."
conditional,Doktorum ile karşılaşsam ona teşekkür ederim.,"If I were to encounter my doctor, I would thank him/her."
conditional,Duo ile tanışsam çok mutlu olurum.,I would be very happy if I were to meet Duo.
conditional,Elleri yandıysa onu hastaneye götürmelisin.,"If his hands were burned, you must take him/her to the hospital."
conditional,Ellerime dokunursan kalbimi görebilirsin.,"If you touch my hands, you can see my heart."
conditional,"Ev yanıyorsa, su lazım.","If the house is burning, water is needed."
conditional,"Eğer beni onunla geçen yıl tanıştırsaydın, hayatım çok farklı olurdu.","If you had introduced me to him/her last year, my life would be very different."
conditional,Eğer bu hastalar için üzülürse o hastalar ondan daha çok üzgün olur.,"If he feels sorry for these patients, those patients will be sadder than him/her."
conditional,"Eğer Fransız bir adamla tanışırsam, onunla şarap içeceğim.","If I meet a French man, I will drink wine with him."
conditional,Eğer gece parkta bana dokunursa başka yere koşarım.,"If he touches me in the park at night, I will run elsewhere."
conditional,Eğer gençken seninle karşılaşsaydık hayat çok farklı olurdu.,"If we had encountered you when we were young, life would be very different."
conditional,Eğer onunla karşılaşsaydık ben onunla yemek yerdim.,"If we had encountered him/her, I would have eaten food with him/her."
conditional,Gazeteyi yaktıysan artık onu okuman imkansız.,"If you burned the newspaper, it is now impossible for you to read it."
conditional,Keşke burada olsaydın.,I wish you were here.
conditional,Keşke çocukken okulu değil oyunu seçseydim.,I wish I had chosen play instead of school when I was a child.
conjunctions,Ben ne elma yerim ne de portakal.,I eat neither apples nor oranges.
conjunctions,Biz yumurta yiyoruz çünkü yorgunuz.,We are eating eggs because we are tired.
conjunctions,Bu sizin için.,This is for you plural/formal.
conjunctions,Deniz hem mavi hem de yeşil.,The sea is both blue and green.
conjunctions,Doktorlar da geliyor.,The doctors are also coming.
conjunctions,Duo da işsiz.,Duo is also unemployed.
conjunctions,Duo da yeşil bir baykuş.,Duo is also a green owl.
conjunctions,Duo çok hasta çünkü çorbayı tuzlu içiyor.,Duo is very sick because he drinks the soup salty.
conjunctions,Elbise ya siyah ya da beyaz.,The dress is either black or white.
conjunctions,Elmaların ikisini de yiyorum.,I am eating both of the apples.
conjunctions,Emel ya bir öğretmen ya da bir öğrenci.,Emel is either a teacher or a student.
conjunctions,Kadınların ikisini de görüyorum.,I see both of the women.
conjunctions,Kediler hem su hem de süt içer.,Cats drink both water and milk.
conjunctions,Kedilerin ikisi de beyaz.,Both of the cats are white.
conjunctions,Kitap öğrenciler için.,The book is for students.
conjunctions,Kızların ikisi de güzel.,Both of the girls are beautiful.
conjunctions,Mesleğiniz ne?,What is your profession?
conjunctions,Mutlu değiller çünkü açlar.,They are not happy because they are hungry.
conjunctions,Müdür eve gidiyor o zaman ben de gidiyorum.,"The manager is going home, then I am going too."
conjunctions,O ne bir doktor ne de bir avukat.,He is neither a doctor nor a lawyer.
conjunctions,O ne burada ne de orada.,He is neither here nor there.
conjunctions,Onlar evlerin ikisini de alıyor.,They are buying both of the houses.
conjunctions,Onların ikisi de odada.,Both of them are in the room.
conjunctions,Ya bugün gel ya da yarın.,Either come today or tomorrow.
conjunctions,Yumurta yiyorum çünkü açım.,I am eating eggs because I am hungry.
conjunctions,Çay onun için.,The tea is for him/her.
conjunctions,Çünkü onun kuşları kırmızı.,Because his birds are red.
conjunctions,Çünkü onun kuşları ve kedileri var.,Because he has birds and cats.
copula,Sen gençsin ama güzel değilsin.,You are young but you are not beautiful.
copula,Ben Mutluyum.,I am happy.
copula,Çok güzelsiniz.,You are very beautiful.
copula,Gencim ve güzelim.,I am young and beautiful.
copula,Biz kadınız.,We are women.
copula,Ben iyiyim ama o değil.,I am fine but he is not.
copula,"Sen kadınsın, o erkek.","You are a woman, he is a man."
copula,Teşekkürler tokum.,"Thanks, I am full."
copula,Ben aç değilim.,I am not hungry.
copula,Ben erkeğim.,I am a man.
copula,Evet yakışıklısın.,"Yes, you are handsome."
copula,Kedi sakin değil.,The cat is not calm.
copula,Biz çocuğuz.,We are children.
copula,Yaşılıyız ve açız.,We are old and hungry.
copula,Sen toksun.,You are full.
copula,Benim adım Selcen.,My name is Selcen.
copula,Onların kitaplar.,Their books.
copula,Selcenin kuşu.,Selcen's bird.
copula,Makarnası.,His pasta.
copula,Kedinin suyu var.,The cat has water.
copula,Balıklar benim.,The fish are mine.
copula,Benim baykuşum tok.,My owl is full.
copula,Bizim sütümüz yok.,We do not have milk.
copula,Benim bir kedim yoktur.,I do not have a cat.
copula,Bizim bir köpeğimiz var.,We have a dog.
copula,Benim bir kuşum var.,I have a bird.
copula,Benim gazetem.,My newspaper.
copula,Yoktur.,There is none.
copula,Sana bir kitap okurum ama ona değil.,I can/will read a book to you but not to him/her.
copula,O ona bir gazete okur.,He reads a newspaper to him/her.
dative,Adam bankaya gidiyor.,The man is going to the bank.
dative,Bankaya gidiyoruz.,We are going to the bank.
dative,Bara gidiyorum.,I am going to the bar.
dative,Bir asır sonra.,A century later.
dative,Buraya gel.,Come here.
dative,Buraya geliyor.,He is coming here.
dative,Çocuk eve koşuyor.,The child is running home.
dative,Doğuya gidiyorum.,I am going to the east.
dative,Eski eve gel!,Come to the old house!
dative,Eve yürüyorum.,I am walking home.
dative,Eve gel!,Come home!
dative,Güneye yüzüyorum.,I am swimming to the south.
dative,Kedi oraya koşuyor.,The cat is running there.
dative,Kuşlar güneye gidiyor.,Birds are going south.
dative,Köpekler ofise gidiyor.,Dogs are going to the office.
dative,Neden bara geliyor?,Why is he coming to the bar?
dative,Ofise gidiyoruz.,We are going to the office.
dative,Okula git!,Go to school!
dative,Okuldan eve gidiyorum.,I am going from school to home.
dative,"Oraya değil, şuraya git!","Do not go there, go over there!"
dative,Parka gel!,Come to the park!
dative,Parka gelin.,Come to the park plural/formal.
dative,Şuraya yağmur yağıyor.,It is raining over there.
dative,Yarın buraya geliyoruz.,We are coming here tomorrow.
dative,Biz bankaya doğru koşuyoruz.,We are running towards the bank.
dative,Bu öğrenciler otele geliyor.,These students are coming to the hotel.
dative,Buradan bir adam güneye gidiyor.,A man is going south from here.
dative,Çocuklar parka geliyorlar.,The children are coming to the park.
dative,Doktor hastaneye geliyor.,The doctor is coming to the hospital.
dative,Doktorlar doğuya gidiyorlar.,The doctors are going to the east.
education,Açıklamayı okuyorum çünkü bu kelimenin anlamını bilmiyorum.,I am reading the explanation because I do not know the meaning of this word.
education,Alıştırma yapıyorum.,I am doing an exercise.
education,Amaç mutlu olmak.,The goal is to be happy.
education,Bana bir örnek ver!,Give me an example!
education,Bazı sınıflarda yetmiş öğrenci var.,There are seventy students in some classes.
education,Ben iş için bir konferansa gidiyorum.,I am going to a conference for work.
education,Benim amacım Türkçe konuşmak.,My goal is to speak Turkish.
education,Benim amacım Türkçe öğrenmek.,My goal is to learn Turkish.
education,Benim oğlum bir okulda coğrafya öğretiyor.,My son teaches geography at a school.
education,Bilgiye açız.,We are hungry for knowledge.
education,Bir örnek veriyorum.,I am giving an example.
education,Biyoloji bölümünde okuyorum.,I am studying in the biology department.
education,Biyoloji mi daha zor yoksa kimya mı?,Is biology harder or chemistry?
education,Biyoloji sınavı oldukça kolay.,The biology exam is quite easy.
education,Biz size Türkçe öğretiyoruz.,We are teaching you Turkish.
education,Bu alıştırma bir sınava benziyor.,This exercise resembles an exam.
education,Bu çalışmalar bizim için çok önemli.,These studies are very important for us.
education,Bu çalışmanın konusu ne?,What is the subject of this study?
education,Bu çok önemli bir konferans.,This is a very important conference.
education,Bu cümlede hata var.,There is a mistake in this sentence.
education,Bu ders çok uzun.,This lesson is very long.
education,Bu eğitim hangi konuda?,What is this training about?
education,Bu evrak çok önemli.,This document is very important.
education,Bu hafta ders programın nasıl?,How is your lesson schedule this week?
education,Bu hafta mutsuzum çünkü sekiz tane sınavım var.,I am unhappy this week because I have eight exams.
education,Bu kalem çok pahalı.,This pen is very expensive.
education,Bu kelime kaç harfli?,How many letters does this word have?
education,Bu kelimenin anlamını bilmiyorum.,I do not know the meaning of this word.
education,Bu kelimenin anlamı ne?,What is the meaning of this word?
education,Bu konuyu anlamıyor.,He does not understand this subject.
family,Abimin iki çocuğu var.,My older brother has two children.
family,Ablam okula gidiyor.,My older sister is going to school.
family,Ailemiz nerede?,Where is our family?
family,Ailenin kedisi siyah.,The family's cat is black.
family,"Adden, ben açım!","Adden, I am hungry!"
family,Anne ve baba.,Mother and father.
family,Annem ve babam evli.,My mother and father are married.
family,Annem babamın eşi.,My mother is my father's spouse.
family,Anneannen gözlük takar.,Your maternal grandmother wears glasses.
family,Benim ablam mühendis.,My older sister is an engineer.
family,Ben annemin oğluyum.,I am my mother's son.
family,Ben bekar değilim.,I am not single.
family,Ben evli değilim.,I am not married.
family,Ben evliyim.,I am married.
family,Ben karımı seviyorum.,I love my wife.
family,Benim babam doktor.,My father is a doctor.
family,Benim güzel bir ablam var.,I have a beautiful older sister.
family,Benim abim doktor.,My older brother is a doctor.
family,Eşim güzel.,My spouse is beautiful.
family,Biz bekarız ama tokuz.,We are single but full.
family,Biz evliyiz ve mutluyuz.,We are married and happy.
family,Halam denizde.,My paternal aunt is in the sea.
family,Halam güzel.,My paternal aunt is beautiful.
family,Halaların gidiyor.,Your paternal aunts are going.
family,Teyzelerin gidiyor.,Your maternal aunts are going.
family,Kardeşim gibisin.,You are like my sibling.
family,Karı koca.,Husband and wife.
family,Karımın şapkaları mavi.,My wife's hats are blue.
family,Kocam kitap okuyor.,My husband is reading a book.
family,O benim oğlum.,He is my son.
future,Annem benimle konuşacak.,My mother will talk to me.
future,Baban yarın çalışacak mı?,Will your father work tomorrow?
future,Bana bunu söyleyeceksin.,You will tell me this.
future,Ben beş saniye daha bekleyeceğim.,I will wait for five more seconds.
future,Ben çantanın içine bakacağım.,I will look inside the bag.
future,Ben daha fazla çay isteyeceğim.,I will want more tea.
future,Ben doktoru göreceğim.,I will see the doctor.
future,Ben doktor olacağım.,I will be a doctor.
future,Ben gazeteyi okuyacağım.,I will read the newspaper.
future,Ben kazanmak için buradayım ve kazanacağım.,I am here to win and I will win.
future,Ben ona kitabı yarın vereceğim.,I will give him/her the book tomorrow.
future,Ben seninle geleceğim.,I will come with you.
future,Ben seninle konuşacağım.,I will talk to you.
future,Ben seninle yürüyeceğim.,I will walk with you.
future,Ben yarın kazanacağım.,I will win tomorrow.
future,Benim teyzem bu gece balık yiyecek.,My maternal aunt will eat fish tonight.
future,Bir gün her şey bitecek.,One day everything will end.
future,Bir yıl içinde her şey değişecek.,Everything will change within a year.
future,"Bir yıl sonra, öğrenciler ingilizce bilecekler.","One year later, students will know English."
future,Biz biraz bahçede oturacağız.,We will sit in the garden for a bit.
future,Biz ne yiyeceğiz?,What will we eat?
future,Biz ona bir etek vereceğiz.,We will give her a skirt.
future,Biz oteli yarın göreceğiz.,We will see the hotel tomorrow.
future,Bugün ben daha fazla portakal suyu içeceğim.,I will drink more orange juice today.
future,Bugün ofiste çalışacağım.,I will work at the office today.
future,Bugün size Türk mutfağını sunacağım.,Today I will present Turkish cuisine to you plural/formal.
future,Bugün yemeği sen yapacaksın.,You will make the food today.
future,Bu bahçe değişecek.,This garden will change.
future,Bu kitabı yakında okuyacağım.,I will read this book soon.
future,Bunu artık Türkçe sunacağım.,I will present this in Turkish now.
gerunds_infinitives,Annenin sana bira içmek için izin vermesine izin vermiyorum.,I do not allow your mother to allow you to drink beer.
gerunds_infinitives,Annemin gelmesini istiyorum.,I want my mother to come.
gerunds_infinitives,Baban çay yapmanı istiyor.,Your father wants you to make tea.
gerunds_infinitives,Bakmama rağmen görmüyorum.,"Although I look, I do not see."
gerunds_infinitives,Ben kızımın Almanya’ya gitmesine izin vereceğim.,I will allow my daughter to go to Germany.
gerunds_infinitives,Ben onu yapmayı sevmiyorum.,I do not like doing that.
gerunds_infinitives,Ben pencere kenarında oturmayı seviyorum.,I like sitting by the window.
gerunds_infinitives,Benden nefret etmeni istemiyorum.,I do not want you to hate me.
gerunds_infinitives,Benim için beklemesini istemiyorum.,I do not want him/her to wait for me.
gerunds_infinitives,Bu gece eğlenmemiz gerekiyor!,We need to have fun tonight!
gerunds_infinitives,Bu kitabı onun sana vermesi lazım.,He needs to give this book to you.
gerunds_infinitives,"Bu çok uzun, yazman lazım.","This is very long, you need to write it."
gerunds_infinitives,Bunu dinlemen çok önemli.,It is very important that you listen to this.
